x y z
-7.1356783919597975 -10.753768844221106 0.39445471176130387
-7.1356783919597975 -10.35175879396985 0.4276056627335061
-7.1356783919597975 -9.949748743718594 0.46218858954082054
-7.1356783919597975 -9.547738693467338 0.4981079725746205
-7.1356783919597975 -9.145728643216078 0.5352438218992142
-7.1356783919597975 -8.743718592964825 0.5734462334421543
-7.1356783919597975 -8.341708542713569 0.6125262998858625
-7.1356783919597975 -7.939698492462313 0.6522413771818173
-7.1356783919597975 -7.5376884422110555 0.6922726824426864
-7.1356783919597975 -7.1356783919597975 0.7321947491200654
-7.1356783919597975 -6.733668341708544 0.7714411972273787
-7.1356783919597975 -6.331658291457288 0.8092811064277685
-7.1356783919597975 -5.9296482412060305 0.8448328475268289
-7.1356783919597975 -5.527638190954774 0.877146789912491
-7.1356783919597975 -5.125628140703516 0.9053670961760102
-7.1356783919597975 -4.723618090452263 0.9289307588518952
-7.1356783919597975 -4.321608040201006 0.9477129965615809
-7.1356783919597975 -3.9195979899497484 0.9620384157254283
-7.1356783919597975 -3.517587939698494 0.9725550851009446
-7.1356783919597975 -3.115577889447236 0.9800464033243524
-7.1356783919597975 -2.7135678391959814 0.9852682287342878
-7.1356783919597975 -2.3115577889447216 0.9888552394615944
-7.1356783919597975 -1.9095477386934672 0.9912926540700344
-7.1356783919597975 -1.5075376884422127 0.9929277966910297
-7.1356783919597975 -1.1055276381909547 0.993997196533519
-7.1356783919597975 -0.7035175879397002 0.9946544185902282
-7.1356783919597975 -0.3015075376884404 0.9949922375263909
-7.1356783919597975 0.10050251256281229 0.9950575580038017
-7.1356783919597975 0.5025125628140685 0.9948593724643809
-7.1356783919597975 0.9045226130653283 0.9943703170221735
-7.1356783919597975 1.306532663316581 0.9935219667796559
-7.1356783919597975 1.7085427135678408 0.992193474778095
-7.1356783919597975 2.1105527638190935 0.9901929953079989
-7.1356783919597975 2.5125628140703498 0.9872322661338929
-7.1356783919597975 2.9145728643216096 0.9828978994812804
-7.1356783919597975 3.3165829145728623 0.9766295611578669
-7.1356783919597975 3.718592964824122 0.9677248530506471
-7.1356783919597975 4.120603015075375 0.955397742661826
-7.1356783919597975 4.522613065326632 0.9389088674510346
-7.1356783919597975 4.924623115577891 0.9177499763628871
-7.1356783919597975 5.3266331658291435 0.8918129171712396
-7.1356783919597975 5.728643216080403 0.8614525711959107
-7.1356783919597975 6.1306532663316595 0.82740230035014
-7.1356783919597975 6.532663316582913 0.7905891052417118
-7.1356783919597975 6.934673366834172 0.7519441496412629
-7.1356783919597975 7.336683417085425 0.7122790855175005
-7.1356783919597975 7.7386934673366845 0.6722411878136
-7.1356783919597975 8.14070351758794 0.6323222802247643
-7.1356783919597975 8.542713567839193 0.5928902446344657
-7.1356783919597975 8.944723618090453 0.5542224602637535
-7.1356783919597975 9.346733668341706 0.5165324225543567
-7.1356783919597975 9.748743718592966 0.4799880996326128
-7.1356783919597975 10.150753768844222 0.44472357181337036
-7.1356783919597975 10.552763819095475 0.41084607635509846
-7.1356783919597975 10.954773869346734 0.37844022309643854
-7.1356783919597975 11.356783919597987 0.34757060397735934
-7.1356783919597975 11.758793969849247 0.3182835626938764
-7.1356783919597975 12.160804020100505 0.29060857248867883
-7.1356783919597975 12.562814070351756 0.26455946813119385
-7.1356783919597975 12.964824120603014 0.24013565679611512
-7.1356783919597975 13.366834170854268 0.21732336227474053
-7.1356783919597975 13.768844221105526 0.19609691753641448
-7.1356783919597975 14.170854271356786 0.17642009942369855
-7.1356783919597975 14.572864321608037 0.15824748861819288
-7.1356783919597975 14.974874371859299 0.1415258334998038
-7.1356783919597975 15.376884422110557 0.1261953955420832
-7.1356783919597975 15.778894472361808 0.11219125490534695
-7.1356783919597975 16.18090452261307 0.09944455696142211
-7.1356783919597975 16.58291457286432 0.0878836829506811
-7.1356783919597975 16.984924623115575 0.07743533021538135
-7.1356783919597975 17.386934673366838 0.06802548852299996
-7.1356783919597975 17.788944723618087 0.05958029662360133
-7.1356783919597975 18.19095477386935 0.05202675031223597
-7.1356783919597975 18.5929648241206 0.04529318292211244
-7.1356783919597975 18.994974874371863 0.039309221782265605
-7.1356783919597975 19.39698492462312 0.034003675658351225
-7.1356783919597975 19.79899497487437 0.02928658410300075
-6.331658291457288 -20.0 0.027074836563480725
-6.331658291457288 -19.597989949748744 0.031579879622454794
-6.331658291457288 -19.195979899497488 0.036576319672082996
-6.331658291457288 -18.79396984924623 0.04221187524423182
-6.331658291457288 -18.391959798994975 0.04856189083422097
-6.331658291457288 -17.98994974874372 0.05569658166450376
-6.331658291457288 -17.587939698492463 0.06368690126659109
-6.331658291457288 -17.185929648241206 0.07260522443576943
-6.331658291457288 -16.78391959798995 0.08252506114903906
-6.331658291457288 -16.381909547738694 0.09352044589606423
-6.331658291457288 -15.979899497487438 0.10566515011847655
-6.331658291457288 -15.577889447236181 0.11903176337794233
-6.331658291457288 -15.175879396984925 0.13369066336863336
-6.331658291457288 -14.773869346733669 0.14970888876301006
-6.331658291457288 -14.371859296482413 0.16714892867466247
-6.331658291457288 -13.969849246231156 0.1860674443428301
-6.331658291457288 -13.5678391959799 0.20651394108424226
-6.331658291457288 -13.165829145728644 0.22852941090108467
-6.331658291457288 -12.763819095477388 0.2521449677739805
-6.331658291457288 -12.361809045226131 0.2773804978349016
-6.331658291457288 -11.959798994974875 0.30424334411203374
-6.331658291457288 -11.557788944723619 0.33272703837561246
-6.331658291457288 -11.155778894472359 0.36281007738949433
-6.331658291457288 -10.753768844221106 0.39445471176130387
-6.331658291457288 -10.35175879396985 0.4276056627335061
-6.331658291457288 -9.949748743718594 0.46218858954082054
-6.331658291457288 -9.547738693467338 0.4981079725746205
-6.331658291457288 -9.145728643216078 0.5352438218992142
-6.331658291457288 -8.743718592964825 0.5734462334421543
-6.331658291457288 -8.341708542713569 0.6125262998858625
-6.331658291457288 -7.939698492462313 0.6522413771818173
-6.331658291457288 -7.5376884422110555 0.6922726824426864
-6.331658291457288 -7.1356783919597975 0.7321947491200654
-6.331658291457288 -6.733668341708544 0.7714411972273787
-6.331658291457288 -6.331658291457288 0.8092811064277685
-6.331658291457288 -5.9296482412060305 0.8448328475268289
-6.331658291457288 -5.527638190954774 0.877146789912491
-6.331658291457288 -5.125628140703516 0.9053670961760102
-6.331658291457288 -4.723618090452263 0.9289307588518952
-6.331658291457288 -4.321608040201006 0.9477129965615809
-6.331658291457288 -3.9195979899497484 0.9620384157254283
-6.331658291457288 -3.517587939698494 0.9725550851009446
-6.331658291457288 -3.115577889447236 0.9800464033243524
-6.331658291457288 -2.7135678391959814 0.9852682287342878
-6.331658291457288 -2.3115577889447216 0.9888552394615944
-6.331658291457288 -1.9095477386934672 0.9912926540700344
-6.331658291457288 -1.5075376884422127 0.9929277966910297
-6.331658291457288 -1.1055276381909547 0.993997196533519
-6.331658291457288 -0.7035175879397002 0.9946544185902282
-6.331658291457288 -0.3015075376884404 0.9949922375263909
-6.331658291457288 0.10050251256281229 0.9950575580038017
-6.331658291457288 0.5025125628140685 0.9948593724643809
-6.331658291457288 0.9045226130653283 0.9943703170221735
-6.331658291457288 1.306532663316581 0.9935219667796559
-6.331658291457288 1.7085427135678408 0.992193474778095
-6.331658291457288 2.1105527638190935 0.9901929953079989
-6.331658291457288 2.5125628140703498 0.9872322661338929
-6.331658291457288 2.9145728643216096 0.9828978994812804
-6.331658291457288 3.3165829145728623 0.9766295611578669
-6.331658291457288 3.718592964824122 0.9677248530506471
-6.331658291457288 4.120603015075375 0.955397742661826
-6.331658291457288 4.522613065326632 0.9389088674510346
-6.331658291457288 4.924623115577891 0.9177499763628871
-6.331658291457288 5.3266331658291435 0.8918129171712396
-6.331658291457288 5.728643216080403 0.8614525711959107
-6.331658291457288 6.1306532663316595 0.82740230035014
-6.331658291457288 6.532663316582913 0.7905891052417118
-6.331658291457288 6.934673366834172 0.7519441496412629
-6.331658291457288 7.336683417085425 0.7122790855175005
-6.331658291457288 7.7386934673366845 0.6722411878136
-6.331658291457288 8.14070351758794 0.6323222802247643
-6.331658291457288 8.542713567839193 0.5928902446344657
-6.331658291457288 8.944723618090453 0.5542224602637535
-6.331658291457288 9.346733668341706 0.5165324225543567
-6.331658291457288 9.748743718592966 0.4799880996326128
-6.331658291457288 10.150753768844222 0.44472357181337036
-6.331658291457288 10.552763819095475 0.41084607635509846
-6.331658291457288 10.954773869346734 0.37844022309643854
-6.331658291457288 11.356783919597987 0.34757060397735934
-6.331658291457288 11.758793969849247 0.3182835626938764
-6.331658291457288 12.160804020100505 0.29060857248867883
-6.331658291457288 12.562814070351756 0.26455946813119385
-6.331658291457288 12.964824120603014 0.24013565679611512
-6.331658291457288 13.366834170854268 0.21732336227474053
-6.331658291457288 13.768844221105526 0.19609691753641448
-6.331658291457288 14.170854271356786 0.17642009942369855
-6.331658291457288 14.572864321608037 0.15824748861819288
-6.331658291457288 14.974874371859299 0.1415258334998038
-6.331658291457288 15.376884422110557 0.1261953955420832
-6.331658291457288 15.778894472361808 0.11219125490534695
-6.331658291457288 16.18090452261307 0.09944455696142211
-6.331658291457288 16.58291457286432 0.0878836829506811
-6.331658291457288 16.984924623115575 0.07743533021538135
-6.331658291457288 17.386934673366838 0.06802548852299996
-6.331658291457288 17.788944723618087 0.05958029662360133
-6.331658291457288 18.19095477386935 0.05202675031223597
-6.331658291457288 18.5929648241206 0.04529318292211244
-6.331658291457288 18.994974874371863 0.039309221782265605
-6.331658291457288 19.39698492462312 0.034003675658351225
-6.331658291457288 19.79899497487437 0.02928658410300075
-5.527638190954774 -20.0 0.027074836563480725
-5.527638190954774 -19.597989949748744 0.031579879622454794
-5.527638190954774 -19.195979899497488 0.036576319672082996
-5.527638190954774 -18.79396984924623 0.04221187524423182
-5.527638190954774 -18.391959798994975 0.04856189083422097
-5.527638190954774 -17.98994974874372 0.05569658166450376
-5.527638190954774 -17.587939698492463 0.06368690126659109
-5.527638190954774 -17.185929648241206 0.07260522443576943
-5.527638190954774 -16.78391959798995 0.08252506114903906
-5.527638190954774 -16.381909547738694 0.09352044589606423
-5.527638190954774 -15.979899497487438 0.10566515011847655
-5.527638190954774 -15.577889447236181 0.11903176337794233
-5.527638190954774 -15.175879396984925 0.13369066336863336
-5.527638190954774 -14.773869346733669 0.14970888876301006
-5.527638190954774 -14.371859296482413 0.16714892867466247
-5.527638190954774 -13.969849246231156 0.1860674443428301
-5.527638190954774 -13.5678391959799 0.20651394108424226
-5.527638190954774 -13.165829145728644 0.22852941090108467
-5.527638190954774 -12.763819095477388 0.2521449677739805
-5.527638190954774 -12.361809045226131 0.2773804978349016
-5.527638190954774 -11.959798994974875 0.30424334411203374
-5.527638190954774 -11.557788944723619 0.33272703837561246
-5.527638190954774 -11.155778894472359 0.36281007738949433
-5.527638190954774 -10.753768844221106 0.39445471176130387
-5.527638190954774 -10.35175879396985 0.4276056627335061
-5.527638190954774 -9.949748743718594 0.46218858954082054
-5.527638190954774 -9.547738693467338 0.4981079725746205
-5.527638190954774 -9.145728643216078 0.5352438218992142
-5.527638190954774 -8.743718592964825 0.5734462334421543
-5.527638190954774 -8.341708542713569 0.6125262998858625
-5.527638190954774 -7.939698492462313 0.6522413771818173
-5.527638190954774 -7.5376884422110555 0.6922726824426864
-5.527638190954774 -7.1356783919597975 0.7321947491200654
-5.527638190954774 -6.733668341708544 0.7714411972273787
-5.527638190954774 -6.331658291457288 0.8092811064277685
-5.527638190954774 -5.9296482412060305 0.8448328475268289
-5.527638190954774 -5.527638190954774 0.877146789912491
-5.527638190954774 -5.125628140703516 0.9053670961760102
-5.527638190954774 -4.723618090452263 0.9289307588518952
-5.527638190954774 -4.321608040201006 0.9477129965615809
-5.527638190954774 -3.9195979899497484 0.9620384157254283
-5.527638190954774 -3.517587939698494 0.9725550851009446
-5.527638190954774 -3.115577889447236 0.9800464033243524
-5.527638190954774 -2.7135678391959814 0.9852682287342878
-5.527638190954774 -2.3115577889447216 0.9888552394615944
-5.527638190954774 -1.9095477386934672 0.9912926540700344
-5.527638190954774 -1.5075376884422127 0.9929277966910297
-5.527638190954774 -1.1055276381909547 0.993997196533519
-5.527638190954774 -0.7035175879397002 0.9946544185902282
-5.527638190954774 -0.3015075376884404 0.9949922375263909
-5.527638190954774 0.10050251256281229 0.9950575580038017
-5.527638190954774 0.5025125628140685 0.9948593724643809
-5.527638190954774 0.9045226130653283 0.9943703170221735
-5.527638190954774 1.306532663316581 0.9935219667796559
-5.527638190954774 1.7085427135678408 0.992193474778095
-5.527638190954774 2.1105527638190935 0.9901929953079989
-5.527638190954774 2.5125628140703498 0.9872322661338929
-5.527638190954774 2.9145728643216096 0.9828978994812804
-5.527638190954774 3.3165829145728623 0.9766295611578669
-5.527638190954774 3.718592964824122 0.9677248530506471
-5.527638190954774 4.120603015075375 0.955397742661826
-5.527638190954774 4.522613065326632 0.9389088674510346
-5.527638190954774 4.924623115577891 0.9177499763628871
-5.527638190954774 5.3266331658291435 0.8918129171712396
-5.527638190954774 5.728643216080403 0.8614525711959107
-5.527638190954774 6.1306532663316595 0.82740230035014
-5.527638190954774 6.532663316582913 0.7905891052417118
-5.527638190954774 6.934673366834172 0.7519441496412629
-5.527638190954774 7.336683417085425 0.7122790855175005
-5.527638190954774 7.7386934673366845 0.6722411878136
-5.527638190954774 8.14070351758794 0.6323222802247643
-5.527638190954774 8.542713567839193 0.5928902446344657
-5.527638190954774 8.944723618090453 0.5542224602637535
-5.527638190954774 9.346733668341706 0.5165324225543567
-5.527638190954774 9.748743718592966 0.4799880996326128
-5.527638190954774 10.150753768844222 0.44472357181337036
-5.527638190954774 10.552763819095475 0.41084607635509846
-5.527638190954774 10.954773869346734 0.37844022309643854
-5.527638190954774 11.356783919597987 0.34757060397735934
-5.527638190954774 11.758793969849247 0.3182835626938764
-5.527638190954774 12.160804020100505 0.29060857248867883
